ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI,DIF,DEA,MACD,BOLL_MID,BOLL_UP,BOLL_LOW,RSV,K,D,J
601869.SH,2025-07-31,48.88,53.48,48.88,50.85,48.62,2.23,4.5866,303286.21,1586340.213,84.19358132785197,2.0588465548542914,1.1329698662194179,1.851753377269747,41.254000000000005,48.04663812016945,34.46136187983056,80.47512991833707,73.88183128221503,,
601869.SH,2025-08-01,50.34,52.62,49.01,50.73,50.85,-0.12,-0.236,196666.37,1002556.871,83.46676272097815,2.4772777355345283,1.40183144008244,2.1508925909041765,41.882999999999996,49.71561225497867,34.05038774502132,79.58426132145509,75.79245853966336,,
601869.SH,2025-08-04,49.91,53.0,49.54,51.82,50.73,1.09,2.1486,162969.08,841374.304,84.75420307962794,2.8638289142950057,1.6942309349249534,2.3391959587401048,42.5945,51.3195527973067,33.869447202693294,87.67631774313291,79.76736091879918,,
601869.SH,2025-08-05,53.3,57.0,51.18,57.0,51.82,5.18,9.9961,259518.27,1403521.248,89.09867112761398,3.547265548203697,2.0648378575807023,2.9648553812459895,43.4765,54.16933139107201,32.783668608928,100.0,86.52701067587209,,
601869.SH,2025-08-06,54.49,56.33,52.82,53.08,57.0,-3.92,-6.8772,218185.89,1180213.707,72.30656413185139,3.729590369092797,2.3977883598831213,2.6636040184193517,44.197500000000005,55.4527282588091,32.94227174119091,76.92760447321953,83.3223296774984,,
601869.SH,2025-08-07,52.39,55.97,50.46,53.8,53.08,0.72,1.3564,234361.47,1228668.655,73.30184648699368,3.8873708940732215,2.6957048667211416,2.3833320547041597,44.935500000000005,56.69131464190113,33.17968535809888,81.042654028436,82.56166575160745,80.70168426012674,86.28162873456887
601869.SH,2025-08-08,53.27,56.88,52.61,55.72,53.8,1.92,3.5688,199994.24,1105627.448,75.79957833992204,4.11984998465249,2.9805338903074117,2.278632188690156,45.791000000000004,58.08650178766717,33.49549821233284,92.37187127532776,85.83394841516915,82.44262963477043,92.61658597596656
601869.SH,2025-08-11,55.0,57.75,54.14,54.9,55.72,-0.82,-1.4716,162802.0,903926.484,72.67254671666262,4.189628759497772,3.222352864145484,1.9345517907045764,46.5685,59.11315082058989,34.023849179410114,80.55934515688948,84.07495385896264,82.99310172835364,86.23865812018065
601869.SH,2025-08-12,54.5,57.03,53.72,55.95,54.9,1.05,1.9126,147758.84,819441.634,74.14348869040157,4.2803143664620436,3.433945164608796,1.6927384037064952,47.395500000000006,60.132425969710866,34.658574030289145,79.706877113867,82.618490276923,82.86726134912072,82.12094813252753
601869.SH,2025-08-13,56.09,58.45,55.0,57.23,55.95,1.28,2.2878,205175.12,1162998.246,75.85003559439677,4.404694094237904,3.6280949505346176,1.5531982874065724,48.28699999999999,61.162787313689535,35.41121268631045,87.07627118644062,84.10471521371782,83.28187635838248,85.7503929243885
601869.SH,2025-08-14,57.6,57.68,52.73,52.75,57.23,-4.48,-7.8281,190554.5,1035722.054,60.73971219568038,4.094567737432804,3.721389507914255,0.7463564590370986,48.7575,61.559647640553386,35.955352359446614,36.02693602693602,68.07664655163133,78.1960449715114,47.8378497118712
601869.SH,2025-08-15,53.0,53.78,52.48,53.24,52.75,0.49,0.9289,119683.26,635673.727,61.63983382929994,3.8440178255492228,3.745915171441249,0.19620530821594784,49.296,61.88891095481064,36.70308904518936,34.79349186483105,56.981273005122546,71.1082682562038,28.727282502960037
601869.SH,2025-08-18,53.16,56.81,52.5,55.37,53.24,2.13,4.0008,174643.42,962421.457,65.35792337887726,3.773826096004555,3.7514973563539105,0.04465747930128927,49.966499999999996,62.34089508356715,37.592104916432845,61.45181476846052,58.471542119644305,66.88960355168342,41.63541925556606
601869.SH,2025-08-19,55.5,60.91,55.18,59.23,55.37,3.86,6.9713,229914.41,1346087.827,70.86847388183244,3.9837462384296174,3.797947132769052,0.3715982113211309,50.8565,63.20618957632455,38.50681042367545,83.92344497607655,66.95584573493316,66.9117067132411,67.04412377831727
601869.SH,2025-08-20,57.95,62.0,56.2,61.58,59.23,2.35,3.9676,204781.17,1202844.543,73.61975595793311,4.29027915641587,3.896413537498416,0.7877312378349091,51.86899999999999,64.25049366042555,39.48750633957443,95.58823529411762,76.50022757321575,70.11004445483368,89.2805938099799
601869.SH,2025-08-21,60.02,60.93,55.77,56.39,61.58,-5.19,-8.4281,200349.91,1154787.805,60.116214388639804,4.06753111032058,3.930637052062849,0.27378811651546187,52.65849999999999,63.983037448437045,41.333962551562934,41.0714285714286,64.69042004217116,68.30268769798322,57.46588473054703
601869.SH,2025-08-22,55.24,60.54,55.2,58.98,56.39,2.59,4.593,183206.12,1071944.703,63.69500870384424,4.053269466111217,3.955163534872523,0.19621186247738898,53.592,63.636238149307324,43.54776185069267,68.27731092436973,65.88606436588464,67.49690426511182,62.66438456743026
601869.SH,2025-08-25,64.88,64.88,64.88,64.88,58.98,5.9,10.0034,43115.05,279730.444,70.24495708730811,4.466559978869,4.057442823671819,0.818234310394363,54.815999999999995,64.02284505080185,45.60915494919814,100.0,77.25746519832738,70.75107699151891,90.2702416119443
601869.SH,2025-08-26,71.07,71.07,69.06,71.07,64.61,6.46,9.9985,192513.72,1362113.391,75.28327711426199,5.233251292524031,4.292604517442261,1.881293550163539,56.1595,66.60264627928419,45.71635372071581,100.0,84.83834966725132,75.44746225571706,103.62012449031985
601869.SH,2025-08-27,72.0,78.18,69.95,75.41,71.07,4.34,6.1067,348250.8,2595278.383,78.08514431773524,6.120508005017008,4.658185214957211,2.924645580119595,57.499,70.44328693325852,44.55471306674148,89.22178988326844,86.29950148595411,79.0651310174045,100.76824242305332
601869.SH,2025-08-28,75.41,82.95,75.4,82.95,75.41,7.54,9.9987,60186.21,483633.001,81.91979865216132,7.347384255488521,5.1960250230634735,4.302718464850095,59.104,75.94947654416464,42.25852345583535,100.0,90.86634490909054,82.9991026717736,106.6008293837244
601869.SH,2025-08-29,91.25,91.25,88.01,91.25,82.95,8.3,10.006,188482.68,1716225.605,85.02592454386841,8.886989474456364,5.934217913342052,5.905543122228623,61.129999999999995,82.79275387071458,39.467246129285414,100.0,93.91090131054956,86.63651293388585,108.45967806387699
601869.SH,2025-09-01,92.5,95.8,88.13,91.98,91.25,0.73,0.8,357229.78,3272648.644,85.26568371599565,10.050190264537086,6.757412383581059,6.585555761912055,63.13799999999999,88.32555298283577,37.95044701716421,90.59113300492612,92.80431073539604,88.69249981535974,101.02793257546867
601869.SH,2025-09-02,90.15,95.0,82.78,82.78,91.98,-9.2,-10.0022,278895.42,2446423.57,70.04419839630125,10.11309469819534,7.428548846503915,5.36909170338285,64.42699999999999,90.89789213695522,37.95610786304477,67.93103448275862,84.51321295717692,87.29937967573342,78.94087952006393
601869.SH,2025-09-03,83.2,91.06,81.12,91.06,82.78,8.28,10.0024,216966.3,1922364.193,74.46278594057866,10.707642676723083,8.084367612547748,5.24655012835067,66.326,94.74690364873236,37.90509635126763,88.32512315270937,85.78385027077093,86.79419727962059,83.7631562530716
601869.SH,2025-09-04,97.0,97.0,81.95,86.0,91.06,-5.06,-5.5568,315436.8,2707713.029,67.87392494125197,10.647785478398973,8.597051185717993,4.10146858536196,67.936,97.00986411774062,38.8621358822594,65.75342465753425,79.10703969508032,84.23179137332163,68.8575363385977
601869.SH,2025-09-05,84.0,91.3,84.0,89.85,86.0,3.85,4.4767,320022.76,2832967.106,70.04574800067343,10.786669035513711,9.034974755677137,3.503388559673148,69.6425,99.6876427898614,39.59735721013859,74.40944881889762,77.54117575105644,82.0015745351071,68.62037818295514
